# path_id,x,y,z
0,-5.500000,-2.500000,-5.000000
0,8.500000,4.500000,-5.000000
0,14.500000,11.500000,-5.000000
0,14.500000,17.500000,-5.000000
1,17.500000,-40.500000,-5.000000
1,29.500000,-36.500000,-5.000000
1,28.500000,-35.500000,-5.000000
1,33.500000,-28.500000,-5.000000
2,-14.500000,38.500000,-5.000000
2,-7.500000,38.500000,-5.000000
2,-5.500000,34.500000,-5.000000
2,8.500000,36.500000,-5.000000
2,9.500000,36.500000,-5.000000
2,20.500000,38.500000,-5.000000
3,38.500000,-37.500000,-5.000000
3,29.500000,-8.500000,-5.000000
3,28.500000,-7.500000,-5.000000
3,14.500000,16.500000,-5.000000
3,9.500000,16.500000,-5.000000
4,-11.500000,38.500000,-5.000000
4,-8.500000,37.500000,-5.000000
4,-6.500000,36.500000,-5.000000
5,31.500000,-12.500000,-5.000000
5,9.500000,-12.500000,-5.000000
5,-8.500000,6.500000,-5.000000
5,-9.500000,6.500000,-5.000000
5,-11.500000,9.500000,-5.000000
5,-11.500000,10.500000,-5.000000
5,-24.500000,22.500000,-5.000000
6,16.500000,27.500000,-5.000000
6,4.500000,25.500000,-5.000000
6,3.500000,25.500000,-5.000000
6,-2.500000,14.500000,-5.000000
7,32.500000,49.500000,-5.000000
7,38.500000,27.500000,-5.000000
7,38.500000,-0.500000,-5.000000
8,-10.500000,-17.500000,-5.000000
8,2.500000,-29.500000,-5.000000
8,15.500000,-40.500000,-5.000000
9,7.500000,-17.500000,-5.000000
9,6.500000,-12.500000,-5.000000
9,-10.500000,7.500000,-5.000000
9,-10.500000,8.500000,-5.000000
9,-20.500000,22.500000,-5.000000
10,-26.500000,-14.500000,-5.000000
10,-25.500000,-9.500000,-5.000000
10,13.500000,1.500000,-5.000000
10,25.500000,5.500000,-5.000000
11,-22.500000,-11.500000,-5.000000
11,-26.500000,-11.500000,-5.000000
11,-26.500000,-22.500000,-5.000000
11,-27.500000,-42.500000,-5.000000
11,-49.500000,-49.500000,-5.000000
12,-13.500000,3.500000,-5.000000
12,-28.500000,-4.500000,-5.000000
12,-29.500000,-5.500000,-5.000000
12,-42.500000,-12.500000,-5.000000
13,8.500000,-18.500000,-5.000000
13,3.500000,-18.500000,-5.000000
13,-32.500000,7.500000,-5.000000
13,-32.500000,10.500000,-5.000000
13,-48.500000,15.500000,-5.000000
14,-9.500000,6.500000,-5.000000
14,-12.500000,-16.500000,-5.000000
14,-14.500000,-38.500000,-5.000000
15,-5.500000,34.500000,-5.000000
15,-0.500000,34.500000,-5.000000
15,19.500000,13.500000,-5.000000
15,27.500000,-7.500000,-5.000000
15,28.500000,-6.500000,-5.000000
15,41.500000,-49.500000,-5.000000
16,-39.500000,49.500000,-5.000000
16,-41.500000,46.500000,-5.000000
16,-40.500000,13.500000,-5.000000
16,-24.500000,10.500000,-5.000000
16,-23.500000,10.500000,-5.000000
16,3.500000,-37.500000,-5.000000
17,-7.500000,34.500000,-5.000000
17,-0.500000,34.500000,-5.000000
17,16.500000,17.500000,-5.000000
17,23.500000,16.500000,-5.000000
18,-43.500000,18.500000,-5.000000
18,-39.500000,13.500000,-5.000000
18,-37.500000,13.500000,-5.000000
18,-32.500000,9.500000,-5.000000
18,-31.500000,4.500000,-5.000000
18,-16.500000,-11.500000,-5.000000
18,-15.500000,-10.500000,-5.000000
18,-2.500000,-46.500000,-5.000000
19,26.500000,2.500000,-5.000000
19,31.500000,-18.500000,-5.000000
19,31.500000,-19.500000,-5.000000
19,32.500000,-23.500000,-5.000000
19,28.500000,-34.500000,-5.000000
20,-25.500000,48.500000,-5.000000
20,-7.500000,36.500000,-5.000000
20,-9.500000,27.500000,-5.000000
20,3.500000,-14.500000,-5.000000
20,2.500000,-15.500000,-5.000000
20,8.500000,-26.500000,-5.000000
21,29.500000,-36.500000,-5.000000
21,32.500000,-21.500000,-5.000000
21,35.500000,-1.500000,-5.000000
22,-0.500000,19.500000,-5.000000
22,-8.500000,-14.500000,-5.000000
23,14.500000,45.500000,-5.000000
23,16.500000,46.500000,-5.000000
23,17.500000,46.500000,-5.000000
24,-49.500000,0.500000,-5.000000
24,-29.500000,-4.500000,-5.000000
24,-28.500000,-5.500000,-5.000000
24,-16.500000,-9.500000,-5.000000
24,-13.500000,-15.500000,-5.000000
25,-1.500000,43.500000,-5.000000
25,-10.500000,43.500000,-5.000000
25,-11.500000,42.500000,-5.000000
25,-35.500000,37.500000,-5.000000
25,-46.500000,48.500000,-5.000000
26,-7.500000,27.500000,-5.000000
26,-10.500000,22.500000,-5.000000
26,-11.500000,22.500000,-5.000000
26,-25.500000,21.500000,-5.000000
27,-49.500000,-42.500000,-5.000000
27,-46.500000,-44.500000,-5.000000
27,-29.500000,-43.500000,-5.000000
27,-25.500000,-36.500000,-5.000000
27,-27.500000,-33.500000,-5.000000
27,-26.500000,-12.500000,-5.000000
27,-25.500000,-11.500000,-5.000000
27,-4.500000,2.500000,-5.000000
27,-3.500000,7.500000,-5.000000
27,-5.500000,8.500000,-5.000000
28,-27.500000,8.500000,-5.000000
28,-30.500000,12.500000,-5.000000
28,-40.500000,13.500000,-5.000000
28,-43.500000,29.500000,-5.000000
28,-47.500000,48.500000,-5.000000
29,12.500000,-14.500000,-5.000000
29,18.500000,-12.500000,-5.000000
29,22.500000,-12.500000,-5.000000
29,32.500000,4.500000,-5.000000
29,44.500000,17.500000,-5.000000
30,32.500000,-3.500000,-5.000000
30,39.500000,-17.500000,-5.000000
30,47.500000,-31.500000,-5.000000
31,31.500000,0.500000,-5.000000
31,21.500000,-12.500000,-5.000000
31,16.500000,-12.500000,-5.000000
31,15.500000,-13.500000,-5.000000
31,14.500000,-12.500000,-5.000000
31,-14.500000,-36.500000,-5.000000
31,-23.500000,-36.500000,-5.000000
32,-10.500000,6.500000,-5.000000
32,9.500000,-10.500000,-5.000000
32,8.500000,-11.500000,-5.000000
32,15.500000,-13.500000,-5.000000
33,-40.500000,35.500000,-5.000000
33,-40.500000,13.500000,-5.000000
33,-27.500000,11.500000,-5.000000
33,-26.500000,12.500000,-5.000000
33,-21.500000,8.500000,-5.000000
33,-6.500000,-38.500000,-5.000000
34,-47.500000,1.500000,-5.000000
34,11.500000,-12.500000,-5.000000
34,27.500000,-12.500000,-5.000000
34,30.500000,-17.500000,-5.000000
35,4.500000,-49.500000,-5.000000
35,-3.500000,-39.500000,-5.000000
35,-11.500000,-30.500000,-5.000000
36,-3.500000,-7.500000,-5.000000
36,-0.500000,0.500000,-5.000000
36,2.500000,10.500000,-5.000000
36,6.500000,10.500000,-5.000000
37,28.500000,-20.500000,-5.000000
37,32.500000,-23.500000,-5.000000
37,27.500000,-39.500000,-5.000000
37,0.500000,-36.500000,-5.000000
37,-26.500000,-40.500000,-5.000000
37,-26.500000,-48.500000,-5.000000
38,-46.500000,44.500000,-5.000000
38,-37.500000,40.500000,-5.000000
38,-33.500000,40.500000,-5.000000
38,-9.500000,38.500000,-5.000000
38,-4.500000,34.500000,-5.000000
38,1.500000,34.500000,-5.000000
38,2.500000,33.500000,-5.000000
38,3.500000,33.500000,-5.000000
38,5.500000,31.500000,-5.000000
38,5.500000,30.500000,-5.000000
38,22.500000,2.500000,-5.000000
38,47.500000,-37.500000,-5.000000
39,-9.500000,22.500000,-5.000000
39,-9.500000,37.500000,-5.000000
39,-10.500000,38.500000,-5.000000
39,-11.500000,38.500000,-5.000000
39,-30.500000,40.500000,-5.000000
40,19.500000,-25.500000,-5.000000
40,15.500000,-19.500000,-5.000000
40,16.500000,-13.500000,-5.000000
40,18.500000,-11.500000,-5.000000
40,18.500000,-8.500000,-5.000000
40,17.500000,-7.500000,-5.000000
40,15.500000,-6.500000,-5.000000
40,16.500000,2.500000,-5.000000
41,17.500000,11.500000,-5.000000
41,3.500000,11.500000,-5.000000
41,-7.500000,21.500000,-5.000000
41,-7.500000,23.500000,-5.000000
41,-8.500000,29.500000,-5.000000
41,-9.500000,38.500000,-5.000000
41,-39.500000,39.500000,-5.000000
41,-40.500000,46.500000,-5.000000
42,-45.500000,17.500000,-5.000000
42,-41.500000,31.500000,-5.000000
42,-42.500000,32.500000,-5.000000
42,-39.500000,37.500000,-5.000000
43,28.500000,26.500000,-5.000000
43,31.500000,30.500000,-5.000000
43,40.500000,28.500000,-5.000000
43,37.500000,13.500000,-5.000000
43,21.500000,-12.500000,-5.000000
43,17.500000,-12.500000,-5.000000
43,16.500000,-14.500000,-5.000000
43,6.500000,-33.500000,-5.000000
44,-26.500000,-21.500000,-5.000000
44,-27.500000,-23.500000,-5.000000
44,-28.500000,-24.500000,-5.000000
45,30.500000,10.500000,-5.000000
45,19.500000,17.500000,-5.000000
45,19.500000,18.500000,-5.000000
45,11.500000,33.500000,-5.000000
46,-14.500000,-19.500000,-5.000000
46,2.500000,20.500000,-5.000000
46,0.500000,22.500000,-5.000000
46,14.500000,35.500000,-5.000000
46,19.500000,36.500000,-5.000000
47,-18.500000,-36.500000,-5.000000
47,-11.500000,-35.500000,-5.000000
47,12.500000,-3.500000,-5.000000
47,21.500000,6.500000,-5.000000
48,-9.500000,4.500000,-5.000000
48,3.500000,-16.500000,-5.000000
48,3.500000,-17.500000,-5.000000
48,16.500000,-37.500000,-5.000000
48,29.500000,-38.500000,-5.000000
49,-11.500000,43.500000,-5.000000
49,-32.500000,39.500000,-5.000000
49,-33.500000,38.500000,-5.000000
49,-48.500000,45.500000,-5.000000
50,-7.500000,36.500000,-5.000000
50,-8.500000,31.500000,-5.000000
50,-10.500000,19.500000,-5.000000
50,-18.500000,18.500000,-5.000000
50,-25.500000,17.500000,-5.000000
51,32.500000,-46.500000,-5.000000
51,31.500000,-28.500000,-5.000000
51,32.500000,-27.500000,-5.000000
51,28.500000,-12.500000,-5.000000
51,24.500000,-12.500000,-5.000000
52,36.500000,11.500000,-5.000000
52,39.500000,22.500000,-5.000000
